,Title,Published_date,Views,Likes,Comments,Month
0,The Hard Reality of Data Science Work #shorts,2023-02-06,477,49,0,Feb
1,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,2220,62,2,Feb
2,These 3 Things Make Data Science Special #shorts,2023-02-01,1902,126,3,Feb
3,Will Data Science Be Automated? #shorts,2023-01-27,4603,169,4,Jan
4,Is Data Science A Good Fit For You? #shorts,2023-01-25,3896,160,6,Jan
5,5 Books I Wish I Read Earlier In My Career,2023-01-23,5685,358,44,Jan
6,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,3458,294,10,Jan
7,What Data Science Tool Would I Learn First? #shorts,2023-01-17,4331,252,8,Jan
8,How long does it take to become a Data Scientist? #shorts,2023-01-12,3708,259,6,Jan
9,Where & how to start your Data Science Journey #shorts,2023-01-09,4150,241,2,Jan
10,How I Would NOT Learn Data Science in 2023.,2023-01-03,64508,2486,194,Jan
11,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4142,175,25,Dec
12,The Essential Programming Concepts For Learning Data Science,2022-11-14,17510,746,46,Nov
13,The Data Content House: What You Missed,2022-10-07,9768,335,56,Oct
14,Is Data Science A Good Career?,2022-09-29,45172,1519,118,Sep
15,IRON ANALYST (Teaser) #shorts,2022-09-27,4842,318,24,Sep
16,When a New Data Scientist Joins The Team,2022-08-29,15375,697,130,Aug
17,State of Data Science - Web Data,2022-08-05,10276,361,34,Aug
18,Data Science Town Hall - State of Data Science,2022-08-04,9820,377,38,Aug
19,The Programming Roadmap For Data Science,2022-07-29,19020,1031,55,Jul
20,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,42423,1935,85,Jun
21,Machine Learning Saves My Baseball Career?,2022-06-10,7134,326,68,Jun
22,Every Data Scientist... (funny!),2022-05-24,14873,811,145,May
23,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15900,429,65,May
24,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,42036,1181,81,Apr
25,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,18444,801,101,Mar
26,Data Scientists VS NFT Scam,2022-03-03,4500,187,51,Mar
27,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10542,496,144,Feb
28,What Professional Data Scientists ACTUALLY Do,2022-02-14,86424,3024,183,Feb
29,Can You Analyze My Data Better Than I Can?,2022-01-31,6611,310,62,Jan
30,Giving Back to My Most Engaged Subscribers!,2022-01-28,2282,118,89,Jan
31,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,17504,665,92,Jan
32,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8548,418,85,Jan
33,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8082,236,32,Jan
34,The Only Data Science Explanation You Need,2022-01-10,32466,1845,165,Jan
35,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14159,642,144,Jan
36,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,318849,14242,519,Dec
37,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,9155,365,63,Dec
38,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7617,541,25,Dec
